Name,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700,
019 Fire,0.552,0.521,0.508,0.519,0.55,0.6,0.647,0.678,0.677,0.668,0.657,0.648,0.646,0.663,0.698,0.75,0.821,0.906,0.997,1.084,1.167,1.249,1.359,1.548,1.812,2.068,2.195,2.093,1.838,1.525,1.226,0.986,0.934,1.262,2.472,6.176,14.268,27.913,44.539,59.769,71.042,77.837,80.439,80.795,81.022,81.557,82.713,84.395,85.747,86.265,85.761,84.516,83.542,82.722,83.186,83.885,85.323,86.596,87.491,87.89,,
020 Medium Amber,21.109,18.852,15.918,13.361,11.255,9.126,7.212,5.773,4.718,3.899,3.25,2.759,2.428,2.309,2.381,2.628,2.984,3.347,3.734,4.346,5.627,8.028,11.944,17.216,23.247,29.356,34.861,39.691,44.174,48.257,51.306,53.598,55.728,58.531,63.325,69.082,74.214,78.403,80.524,80.744,79.947,79.553,79.997,81.637,83.78,85.716,86.688,86.083,85.206,84.057,83.275,83.258,84.253,85.659,87.415,88.569,89.14,88.773,87.996,86.964,,
021 Gold Amber,2.372,2.184,2.02,1.889,1.757,1.595,1.438,1.307,1.194,1.086,0.98,0.89,0.827,0.794,0.776,0.766,0.766,0.798,0.892,1.071,1.34,1.68,2.038,2.426,3.028,4.156,6.172,9.354,13.572,18.267,22.746,26.581,30.275,34.998,40.84,47.578,53.395,59.115,65.298,70.881,75.804,79.365,81.34,82.426,83.51,84.907,86.043,86.857,86.774,85.987,85.052,84.414,84.68,85.586,87.709,89.539,91.013,91.814,91.33,90.374,,
022 Dark Amber,0.527,0.492,0.464,0.437,0.403,0.371,0.325,0.283,0.242,0.21,0.177,0.151,0.129,0.115,0.108,0.106,0.109,0.118,0.14,0.185,0.265,0.391,0.547,0.713,0.924,1.352,2.305,4.248,7.066,9.439,9.961,9.181,8.989,10.72,15.67,25.133,37.862,51.686,63.425,71.855,76.282,78.283,79.075,80.187,81.799,83.047,83.779,83.267,82.75,82.79,83.245,84.173,84.968,85.617,85.915,85.706,85.591,85.775,85.902,85.943,,
024 Scarlet,14.002,14.687,15.167,15.157,14.832,14.21,13.056,11.468,9.721,8.073,6.54,5.139,3.991,3.094,2.416,1.908,1.533,1.27,1.085,0.969,0.893,0.843,0.818,0.837,0.924,1.125,1.428,1.825,2.274,2.632,2.847,3.064,3.656,5.472,10.044,19.044,30.58,42.502,52.673,61.026,67.069,70.809,72.306,72.911,72.844,72.999,74.131,75.766,77.29,78.945,80.097,80.351,79.95,79.398,79.106,79.052,79.584,80.612,81.932,83.077,,
025 Sunset Red,4.181,4.024,3.928,3.99,4.161,4.369,4.516,4.585,4.617,4.583,4.514,4.46,4.472,4.596,4.798,5.068,5.368,5.733,6.147,6.588,7.006,7.417,7.931,8.7,9.698,10.595,11.018,10.869,10.305,9.623,8.993,8.489,8.692,10.679,15.684,25.229,38.463,53.09,65.768,75.031,80.66,83.974,85.467,86.206,86.821,87.619,88.205,88.282,88.431,88.289,87.677,87.072,87.026,87.467,88.121,88.822,89.593,90.49,90.669,90.093,,
026 Bright Red,0.117,0.148,0.171,0.19,0.2,0.198,0.176,0.151,0.116,0.084,0.056,0.037,0.023,0.015,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.014,0.019,0.033,0.072,0.208,0.523,1.382,3.413,7.549,14.305,23.37,33.173,42.22,49.475,55.556,59.766,62.566,64.685,66.371,67.892,69.661,71.048,71.66,71.66,71.663,71.806,72.901,74.422,75.38,,
027 Medium Red,0.541,0.446,0.357,0.288,0.245,0.23,0.238,0.255,0.282,0.303,0.308,0.315,0.316,0.3,0.254,0.183,0.106,0.056,0.022,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.014,0.011,0.011,0.043,0.444,2.363,6.703,12.155,17.013,20.79,24.299,28.13,33.023,39.188,46.449,53.541,59.968,64.494,67.581,69.992,72.494,74.959,77.208,78.395,78.825,,
029 Plasa Red,0.014,0.015,0.018,0.019,0.022,0.021,0.019,0.016,0.013,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.018,0.035,0.079,0.22,0.539,1.363,3.269,7.162,13.559,22.102,30.978,38.985,45.553,51.119,54.988,57.883,60.057,62.164,63.713,65.059,65.877,67.149,68.575,70.372,72.001,73.35,73.942,73.739,,
035 Light Pink,68.442,70.383,69.636,68.431,68.803,70.833,71.287,69.37,67.299,66.775,67.377,67.755,66.263,63.834,61.911,61.128,61.049,60.968,59.587,57.32,54.929,52.804,51.685,51.389,51.806,52.165,52.094,51.06,49.316,46.717,44.726,43.944,45.561,50.267,57.564,65.258,71.459,75.938,79.352,82.207,84.714,87.349,89.11,89.669,89.58,88.941,87.658,86.458,86.112,86.363,86.95,88.511,89.94,91.356,92.281,92.39,91.916,91.204,90.474,89.044,,
036 Medium Pink,57.846,58.349,58.242,58.334,58.238,57.999,57.496,56.16,54.725,53.739,52.629,50.692,48.149,46.183,45.007,43.267,40.774,38.089,36.062,34.762,33.326,31.267,29.099,27.481,27.235,28.122,29.373,29.924,28.985,26.851,24.659,23.733,24.858,29.495,37.83,48.647,58.607,66.685,72.953,77.927,81.677,84.447,85.689,85.785,84.908,84.989,84.934,85.209,86.229,87.211,87.523,87.806,87.521,87.499,87.321,87.275,87.513,87.962,88.233,87.931,,
046 Dark Magenta,7.867,7.405,6.963,6.367,5.781,5.429,5.157,4.97,4.875,4.723,4.569,4.508,4.517,4.483,4.315,3.948,3.406,2.792,2.202,1.641,1.111,0.677,0.391,0.245,0.178,0.151,0.131,0.099,0.055,0.024,0.01,0.01,0.01,0.01,0.033,0.161,0.631,2.244,5.926,11.702,17.871,23.087,26.673,28.763,29.987,31.606,34.582,39.523,46.262,54.228,61.928,68.532,73.525,77.271,80.001,82.05,83.312,84.557,85.784,86.169,,
048 Rose Purple,37.551,38.317,38.984,39.816,40.965,42.072,42.997,44.066,44.994,45.044,44.353,43.434,42.357,40.724,38.284,35.29,32.375,29.533,26.477,22.708,18.718,14.93,11.887,9.762,8.428,7.457,6.459,5.154,3.694,2.467,1.702,1.397,1.516,2.203,3.803,6.886,11.438,17.203,23.242,28.287,31.581,32.993,32.995,32.56,32.552,34.011,36.93,41.444,47.105,52.843,57.692,61.705,64.553,67.329,70.006,73.213,76.337,80.148,82.921,84.791,,
049 Medium Purple,25.91,28.19,29.517,29.969,31.024,32.307,32.436,31.739,30.784,28.998,26.302,22.928,20.01,17.357,14.546,11.721,9.167,7.115,5.416,3.945,2.659,1.648,0.957,0.566,0.363,0.265,0.2,0.139,0.082,0.043,0.023,0.015,0.013,0.02,0.044,0.17,0.46,1.369,3.59,6.821,10.275,12.637,13.77,14.209,14.791,16.382,19.699,25.334,33.168,42.464,52.148,61.331,69.502,76.097,81.241,84.325,85.826,86.087,85.91,85.527,,
052 Light Lavender,60.074,59.803,59.628,62.367,65.319,65.337,64.758,66.292,68.755,69.047,67.008,65.58,65.773,66.2,64.658,61.51,58.277,56.102,54.102,51.36,47.492,43.273,39.249,36.308,34.082,31.897,29.357,26.414,23.112,19.938,17.459,16.096,16.009,17.253,19.505,22.522,25.953,29.558,33.035,35.346,36.22,35.689,34.454,33.097,32.791,34.16,37.486,42.843,49.542,56.843,63.502,69.271,73.669,77.293,79.728,81.783,83.012,84.467,85.554,85.847,,
053 Paler Lavender,73.475,76.573,76.761,75.13,76.404,80.341,80.742,78.054,77.775,80.954,82.705,80.939,78.015,77.858,80.622,81.747,79.433,76.006,74.382,74.567,75.321,74.363,71.35,68.079,66.049,65.102,64.617,63.359,61.072,58.31,55.648,53.839,52.675,52.447,52.761,53.374,54.727,56.149,57.813,58.763,58.968,58.303,56.947,55.852,55.536,56.911,59.734,63.956,68.495,72.953,76.231,78.896,80.42,81.821,83.227,84.836,86.238,87.849,88.999,88.833,,
058 Lavender,41.528,44.066,45.899,48.666,51.667,53.607,55.783,58.68,59.083,56.953,55.731,55.396,53.068,48.672,44.961,41.849,38.228,33.503,28.673,24.397,20.256,16.227,12.578,9.798,7.868,6.42,5.171,3.971,2.854,1.938,1.321,1.005,0.933,1.078,1.459,2.198,3.334,5,6.978,8.623,9.295,8.89,7.887,6.941,6.585,7.23,9.292,13.556,20.439,30.089,41.082,52.14,61.393,69.144,74.944,79.108,81.853,84.036,85.234,85.591,,
061 Mist Blue,75.129,79.184,82.456,82.438,81.333,82.295,84.028,85.146,85.391,85.515,85.544,85.323,84.799,85.072,86.214,86.937,85.981,83.327,81.117,80.103,80.424,80.658,79.452,76.601,73.645,70.976,69.339,67.664,64.993,61.067,56.964,54.083,52.883,54.038,56.236,58.128,59.399,58.991,57.434,54.737,52.312,51.068,50.199,49.695,49.363,49.523,49.519,49.617,49.302,48.21,45.458,41.213,36.698,34.782,34.674,37.092,43.023,51.053,58.379,63.613,,
063 Pale Blue,75.28,74.322,77.448,81.691,81.035,78.461,79.37,83.306,84.916,82.676,80.201,81.131,83.582,84.902,83.196,80.513,79.177,79.576,80.029,78.994,76.198,72.862,70.173,68.435,67.211,65.698,63.354,59.473,54.527,49.288,45.021,42.523,42.059,43.641,45.815,47.474,47.988,46.926,45.034,42.232,39.91,38.574,37.648,37.354,37.409,38.217,39.25,40.242,40.785,40.114,37.922,34.445,31.223,30.246,30.66,33.681,39.379,46.694,53.767,59.822,,
068 Sky Blue,41.381,46.708,51.491,55.278,58.993,64.379,70.119,72.816,72.306,71.065,71.12,71.813,70.542,67.046,62.957,59.824,57.232,53.885,48.929,43.512,38.698,34.499,30.44,25.936,20.94,16.378,12.964,10.7,9.233,8.003,6.624,5.004,3.451,2.304,1.631,1.304,1.266,1.399,1.585,1.644,1.502,1.247,0.971,0.764,0.679,0.754,1.062,1.827,3.342,5.782,8.505,10.308,10.747,11.202,12.11,14.295,19.093,27.09,36.558,45.341,,
071 Tokyo Blue,8.531,11.249,13.914,16.345,19.094,22.731,26.085,28.312,29.187,27.664,24.599,21.373,17.717,13.805,10.367,7.514,5.101,3.265,1.924,1.022,0.49,0.217,0.096,0.044,0.024,0.013,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.03,0.064,0.108,0.131,0.119,0.103,0.108,0.144,0.272,0.654,1.587,3.401,,
075 Evening Blue,44.521,48.565,53.841,58.422,60.753,64.456,70.374,73.885,72.964,70.839,71.07,71.701,69.619,65.263,61.574,58.917,55.652,50.789,44.912,39.441,34.783,30.559,25.992,21.186,16.667,12.863,10.137,8.166,6.74,5.497,4.337,3.275,2.434,1.843,1.515,1.405,1.512,1.804,2.161,2.365,2.28,1.977,1.6,1.319,1.221,1.404,2.021,3.483,6.338,11.014,16.772,22.011,25.057,27.313,29.893,33.846,40.307,49.307,58,64.713,,
079 Just Blue,24.685,28.771,33.292,38.643,43.115,48.334,55.088,59.274,59.582,59.971,60.467,59.131,56.169,53.367,50.258,46.68,42.31,37.502,32.06,27.012,22.875,19.464,15.965,12.14,8.594,5.798,3.986,2.9,2.262,1.81,1.381,0.925,0.539,0.288,0.159,0.105,0.092,0.104,0.138,0.168,0.172,0.138,0.099,0.066,0.049,0.048,0.072,0.157,0.426,1.198,2.882,5.434,7.756,9.418,11.054,13.251,17.193,24.45,34.471,44.83,,
085 Deeper Blue,7.95,10.331,12.776,15.696,19.426,23.549,27.909,31.71,33.261,33.909,34.303,33.336,31.268,29.367,27.104,23.873,20.274,16.801,13.34,10.231,7.835,5.937,4.276,2.781,1.621,0.872,0.482,0.288,0.192,0.135,0.088,0.049,0.023,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.091,0.355,1.007,1.901,2.753,3.648,4.919,7.216,11.943,19.667,29.398,,
